smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CC(=O)N1CCCC(Cn2ccnc2-c2cc(C)c(=O)n(C)c2)C1,5.8,2,0.9899494936611668,5.1,6.5,2024,2024,1,2,O=c1ccc(-c2nccn2CC2CCCNC2)c[nH]1,1.4000000000000004
CC(=O)N1CCC[C@H](Cn2cc(Cl)nc2-c2cc(C)c(=O)n(C)c2)C1,6.55,2,1.0606601717798212,5.8,7.3,2024,2024,1,2,O=c1ccc(-c2nccn2CC2CCCNC2)c[nH]1,1.5
CC(=O)N1CCN(CCn2c(CCc3ccc(OCCCN(C)C)cc3)nc3cc(-c4c(C)noc4C)ccc32)CC1,5.1,1,0.0,5.1,5.1,2025,2025,1,1,c1ccc(CCc2nc3cc(-c4cnoc4)ccc3n2CCN2CCNCC2)cc1,0.0
CC(=O)Nc1cc(-c2cn(C)c(=O)c3cc(CN4CCN(S(C)(=O)=O)C[C@H]4C)oc23)ccn1,7.2,1,0.0,7.2,7.2,2024,2024,1,1,O=c1[nH]cc(-c2ccncc2)c2oc(CN3CCNCC3)cc12,0.0
CC(=O)Nc1cn(Cc2ccccc2)c(-c2cc(C)c(=O)n(C)c2)n1,6.449999999999999,2,0.2121320343559638,6.3,6.6,2024,2024,1,2,O=c1ccc(-c2nccn2Cc2ccccc2)c[nH]1,0.2999999999999998
CC(=O)Oc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2CCN2CCOCC2)cc1,5.89,1,0.0,5.89,5.89,2025,2025,1,1,c1ccc(CCc2nc3cc(-c4cnoc4)ccc3n2CCN2CCOCC2)cc1,0.0
CC(C)=C1C(=O)Nc2cc(-c3cnn(C)c3)c(NS(=O)(=O)C3CCCCC3)cc21,6.445,2,0.4454772721475252,6.13,6.76,2024,2024,1,2,C=C1C(=O)Nc2cc(-c3cn[nH]c3)c(NS(=O)(=O)C3CCCCC3)cc21,0.6299999999999999
CC(C)=C1C(=O)Nc2cc(-c3cnn(C)c3)c(NS(=O)(=O)c3ccccc3Br)cc21,6.3,2,0.6646803743153543,5.83,6.77,2024,2024,1,2,C=C1C(=O)Nc2cc(-c3cn[nH]c3)c(NS(=O)(=O)c3ccccc3)cc21,0.9399999999999995
CC(C)=C1C(=O)Nc2cc(-c3cnn(C)c3)c(NS(=O)(=O)c3ccccc3F)cc21,6.619999999999999,2,0.26870057685088766,6.43,6.81,2024,2024,1,2,C=C1C(=O)Nc2cc(-c3cn[nH]c3)c(NS(=O)(=O)c3ccccc3)cc21,0.3799999999999999
CC(C)N1c2cc(Nc3nccc(-c4c[nH]nc4-c4ccccc4)n3)ccc2N(C)C(=O)[C@H]1C,7.29,1,0.0,7.29,7.29,2025,2025,1,1,O=C1CNc2cc(Nc3nccc(-c4c[nH]nc4-c4ccccc4)n3)ccc2N1,0.0
CC(C)N1c2cc(Nc3nccc(-c4c[nH]nc4C4CCCC4)n3)ccc2N(C)C(=O)[C@H]1C,7.54,1,0.0,7.54,7.54,2025,2025,1,1,O=C1CNc2cc(Nc3nccc(-c4c[nH]nc4C4CCCC4)n3)ccc2N1,0.0
CC(C)N1c2cc(Nc3nccc(-c4c[nH]nc4C4CCCCC4)n3)ccc2N(C)C(=O)[C@H]1C,7.27,1,0.0,7.27,7.27,2025,2025,1,1,O=C1CNc2cc(Nc3nccc(-c4c[nH]nc4C4CCCCC4)n3)ccc2N1,0.0
