smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
C#CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)c3cc(C(=O)NCC)sc23)c1,7.96,1,0.0,7.96,7.96,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2sccc12,0.0
C#CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,7.105,2,0.2474873734152923,6.93,7.28,2021,2021,1,2,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.35000000000000053
C#CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,6.62,1,0.0,6.62,6.62,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C#CC1(O)C(=O)Nc2ccc(-c3c(C)noc3C)cc21,5.92,2,0.0,5.92,5.92,2016,2016,1,2,O=C1Cc2cc(-c3cnoc3)ccc2N1,0.0
C#CCNc1cc2c(cc1OC)nc(NCCCCNC(=O)CC(C)C)c1nnc(C)n12,7.43,1,0.0,7.43,7.43,2021,2021,1,1,c1ccc2c(c1)ncc1nncn12,0.0
C#Cc1cc(-c2cc(S(C)(=O)=O)ccc2OCC2CC2)cn(C)c1=O,5.56,1,0.0,5.56,5.56,2018,2018,1,1,O=c1ccc(-c2ccccc2OCC2CC2)c[nH]1,0.0
C#Cc1cccc2c1O[C@H](C)CC(=O)N2,5.05,1,0.0,5.05,5.05,2019,2019,1,1,O=C1CCOc2ccccc2N1,0.0
C#Cc1sc2c(c1Cc1ccccc1)COCc1nnc(C)n1-2,6.68,1,0.0,6.68,6.68,2018,2018,1,1,c1ccc(Cc2csc3c2COCc2nncn2-3)cc1,0.0
C/C(=C(\F)c1cccc2c1N[C@H](C)CC(=O)N2)c1ccc(C#N)cc1,4.78,1,0.0,4.78,4.78,2019,2019,1,1,O=C1CCNc2c(C=Cc3ccccc3)cccc2N1,0.0
C/C(=C/C(=N)c1cccc2c1N[C@H](C)CC(=O)N2)NCc1ccccc1,4.97,1,0.0,4.97,4.97,2019,2019,1,1,N=C(C=CNCc1ccccc1)c1cccc2c1NCCC(=O)N2,0.0
C/C(=C/c1cccc2c1N[C@H](C)CC(=O)N2)c1ccccc1,5.43,1,0.0,5.43,5.43,2019,2019,1,1,O=C1CCNc2c(C=Cc3ccccc3)cccc2N1,0.0
C/C(=C\c1cccc2c1N[C@H](C)CC(=O)N2)c1ccccc1,5.49,1,0.0,5.49,5.49,2019,2019,1,1,O=C1CCNc2c(C=Cc3ccccc3)cccc2N1,0.0
C/C(=C\c1ccccc1)c1cccc2c1N[C@H](C)CC(=O)N2,5.33,1,0.0,5.33,5.33,2019,2019,1,1,O=C1CCNc2c(C=Cc3ccccc3)cccc2N1,0.0
C/C=C(/Oc1ccccc1)c1nc2c3c(ccc2n1[C@H]1CC[C@H](C(=O)O)CC1)N(C(=O)OC)[C@@H](C)CC3,4.3,1,0.0,4.3,4.3,2022,2022,1,1,C=C(Oc1ccccc1)c1nc2c3c(ccc2n1C1CCCCC1)NCCC3,0.0
