smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,8.46,1,0.0,8.46,8.46,2025,2025,1,1,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0.0
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B(O)O,8.39,1,0.0,8.39,8.39,2024,2024,1,1,O=c1[nH]nc(Cc2ccccc2)c2ccccc12,0.0
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,8.68,1,0.0,8.68,8.68,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(C)(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.77,1,0.0,6.77,6.77,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.82,1,0.0,6.82,6.82,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(C)O)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.56,1,0.0,6.56,6.56,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.93,1,0.0,6.93,6.93,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.86,1,0.0,6.86,6.86,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,7.0,1,0.0,7.0,7.0,2024,2024,1,1,O=C(NC(CCc1ccccc1)C(=O)NCB1OC2CC3CC(C3)C2O1)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.0
CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B(O)O,7.01,1,0.0,7.01,7.01,2024,2024,1,1,O=C(NCCc1c[nH]c2ccccc12)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.0
CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,7.55,1,0.0,7.55,7.55,2024,2024,1,1,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)NCB1OC2CC3CC(C3)C2O1)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.94,1,0.0,6.94,6.94,2024,2024,1,1,O=C(NC(Cc1ccccc1)C(=O)NCB1OC2CC3CC(C3)C2O1)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B(O)O,6.54,1,0.0,6.54,6.54,2024,2024,1,1,O=C(NCCc1ccccc1)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,7.01,1,0.0,7.01,7.01,2024,2024,1,1,O=C(NC(Cc1ccccc1)C(=O)NCB1OC2CC3CC(C3)C2O1)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.0
CC1(COc2ccc(/C=C3/SC(O)=NC3=O)cc2)CCCCC1,4.6,1,0.0,4.6,4.6,2024,2024,1,1,O=C1N=CSC1=Cc1ccc(OCC2CCCCC2)cc1,0.0
CC1CN(C(=O)c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2F)CCN1C(=O)c1ccc(Br)o1,8.27,1,0.0,8.27,8.27,2024,2024,1,1,O=C(c1ccc(-c2nc3ccccc3[nH]2)cc1)N1CCN(C(=O)c2ccco2)CC1,0.0
CC1CN(C(=O)c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2F)CCN1C(=O)c1ccc(Cl)o1,8.16,1,0.0,8.16,8.16,2024,2024,1,1,O=C(c1ccc(-c2nc3ccccc3[nH]2)cc1)N1CCN(C(=O)c2ccco2)CC1,0.0
CC1CN(c2ccc3c(OCCn4nc(-c5cnn(C)c5)ccc4=O)ccnc3c2)CCN1C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,8.96,1,0.0,8.96,8.96,2024,2024,1,1,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(c2ccc3c(OCCn4nc(-c5cn[nH]c5)ccc4=O)ccnc3c2)CC1,0.0
CCC1C(=O)Nc2cc(CN3CCN(c4ccc(C(=O)NC)nc4C)CC3)cc3cnn1c23,6.1,1,0.0,6.1,6.1,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CCCS(=O)(=O)Oc1c(Br)cc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1OC,7.3,1,0.0,7.3,7.3,2024,2024,1,1,c1ccc(-c2nc3ccccc3[nH]2)cc1,0.0
CCC[C@H](NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(=O)N[C@@H](CC(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,6.69,1,0.0,6.69,6.69,2024,2024,1,1,O=C(CNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NCB1OC2CC3CC(C3)C2O1,0.0
CCNC(=S)N/N=C/c1ccc(-c2nc3c(oc4ccccc43)c(=O)[nH]2)cc1,7.58,1,0.0,7.58,7.58,2025,2025,1,1,O=c1[nH]c(-c2ccccc2)nc2c1oc1ccccc12,0.0
CCOC(=O)c1ccc(NC(=O)CS/C(=C\C(=O)c2sc(Nc3ccccn3)nc2C)c2ccccc2F)cc1,5.64,1,0.0,5.64,5.64,2024,2024,1,1,O=C(CSC(=CC(=O)c1cnc(Nc2ccccn2)s1)c1ccccc1)Nc1ccccc1,0.0
CCOc1cc(F)ccc1-c1cc(Nc2cc(CN3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)ccn2)ncc1F,7.5,1,0.0,7.5,7.5,2025,2025,1,1,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(Cc2ccnc(Nc3cc(-c4ccccc4)ccn3)c2)CC1,0.0
CCOc1cc(F)ccc1-c1cc(Nc2cc(CN3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)ccn2)ncn1,8.22,1,0.0,8.22,8.22,2025,2025,1,1,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(Cc2ccnc(Nc3cc(-c4ccccc4)ncn3)c2)CC1,0.0
CCc1cc2ccc(CN3CCN(c4ccc(C(=O)NC)nc4C)CC3)cc2[nH]c1=O,8.3,1,0.0,8.3,8.3,2024,2024,1,1,O=c1ccc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1cc2ccc(CN3CCN(c4cnc(C(=O)NC)cc4C)CC3)cc2[nH]c1=O,8.22,1,0.0,8.22,8.22,2024,2024,1,1,O=c1ccc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CC=C(c4cc(F)c(C#N)cn4)CC3)cc2[nH]c1=O,9.55,1,0.0,9.55,9.55,2025,2025,1,1,O=c1ccc2ncc(CN3CC=C(c4ccccn4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CC=C(c4ccc(C#N)cc4F)CC3)cc2[nH]c1=O,9.77,1,0.0,9.77,9.77,2025,2025,1,1,O=c1ccc2ncc(CN3CC=C(c4ccccc4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CC=C(c4ccc(C#N)cn4)CC3)cc2[nH]c1=O,9.7,1,0.0,9.7,9.7,2025,2025,1,1,O=c1ccc2ncc(CN3CC=C(c4ccccn4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CC=C(c4ccc(F)cn4)CC3)cc2[nH]c1=O,9.55,1,0.0,9.55,9.55,2025,2025,1,1,O=c1ccc2ncc(CN3CC=C(c4ccccn4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CC=C(c4ccc([N+](=O)[O-])cc4F)CC3)cc2[nH]c1=O,9.33,1,0.0,9.33,9.33,2025,2025,1,1,O=c1ccc2ncc(CN3CC=C(c4ccccc4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CCN(c4cc(F)c(C#N)cn4)CC3)cc2[nH]c1=O,9.62,1,0.0,9.62,9.62,2025,2025,1,1,O=c1ccc2ncc(CN3CCN(c4ccccn4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CCN(c4ccc(C#N)cc4F)CC3)cc2[nH]c1=O,9.38,1,0.0,9.38,9.38,2025,2025,1,1,O=c1ccc2ncc(CN3CCN(c4ccccc4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)nc4F)CC3)c(F)c2[nH]c1=O,9.39,1,0.0,9.39,9.39,2025,2025,1,1,O=c1ccc2ncc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1cc2ncc(CN3CCN(c4ccc([N+](=O)[O-])cc4F)CC3)cc2[nH]c1=O,9.64,1,0.0,9.64,9.64,2025,2025,1,1,O=c1ccc2ncc(CN3CCN(c4ccccc4)CC3)cc2[nH]1,0.0
CCc1nc2c(F)cc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,8.52,1,0.0,8.52,8.52,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1nc2ccc(CN3CCN(c4ccc(C(=O)NC)nc4F)CC3)c(C)c2[nH]c1=O,8.3,1,0.0,8.3,8.3,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1nc2ccc(CN3CCN(c4ccc(C(=O)NC)nc4F)CC3)c(Cl)c2[nH]c1=O,8.4,1,0.0,8.4,8.4,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1nc2ccc(CN3CCN(c4ccc(C(=O)NC)nc4F)CC3)c(F)c2[nH]c1=O,8.754999999999999,2,0.5020458146424487,8.4,9.11,2024,2025,2,2,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.7099999999999991
CCc1nc2ccc(CN3CCN(c4ccc(F)nc4)CC3)cc2[nH]c1=O,8.05,1,0.0,8.05,8.05,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1nc2ccc(CN3CCN(c4ccc(F)nc4C)CC3)cc2[nH]c1=O,8.3,1,0.0,8.3,8.3,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CCc1nc2ccc(CN3CCN(c4cnc(F)cc4C)CC3)cc2[nH]c1=O,7.96,1,0.0,7.96,7.96,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CN(C)C(=O)c1cc2cnc(Nc3cc(Br)cc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)nc2n1C1CCCC1,8.49,1,0.0,8.49,8.49,2025,2025,1,1,c1cc(Nc2ncc3ccn(C4CCCC4)c3n2)cc(-c2nc3ccccc3[nH]2)c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3cc(F)cc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)nc2n1C1CCCC1,6.14,1,0.0,6.14,6.14,2025,2025,1,1,c1cc(Nc2ncc3ccn(C4CCCC4)c3n2)cc(-c2nc3ccccc3[nH]2)c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)c(Cl)c3)nc2n1C1CCCC1,6.8,1,0.0,6.8,6.8,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)c(F)c3)nc2n1C1CCCC1,6.28,1,0.0,6.28,6.28,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3)nc2n1C1CCCC1,6.33,1,0.0,6.33,6.33,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
