smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
C#CCOc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,7.59,1,0.0,7.59,7.59,2014,2014,1,1,c1ccc(-c2nc3ccccc3[nH]2)cc1,0.0
C#CCOc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,7.73,1,0.0,7.73,7.73,2014,2014,1,1,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,0.0
C#Cc1ccc(N2CCN(Cc3cnc4cc(CC)c(=O)[nH]c4c3)CC2)nc1,8.24,1,0.0,8.24,8.24,2023,2023,1,1,O=c1ccc2ncc(CN3CCN(c4ccccn4)CC3)cc2[nH]1,0.0
C#Cc1cnc2c(C(N)=O)cccc2c1,5.64,1,0.0,5.64,5.64,2009,2009,1,1,c1ccc2ncccc2c1,0.0
C/C=C/CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@@H]1C,7.61,1,0.0,7.61,7.61,2021,2021,1,1,O=C(c1cccc(Cn2c(=O)[nH]c(=O)c3ccccc32)c1)N1CCNCC1,0.0
C/C=C/CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,7.84,1,0.0,7.84,7.84,2021,2021,1,1,O=C(c1cccc(Cn2c(=O)[nH]c(=O)c3ccccc32)c1)N1CCNCC1,0.0
C1=Cc2ccccc2CN1,5.82,1,0.0,5.82,5.82,2020,2020,1,1,C1=Cc2ccccc2CN1,0.0
C=C(C)CCN1CCN2C(=Nc3cccc4c(=O)[nH]nc2c34)C1,7.41,1,0.0,7.41,7.41,2018,2018,1,1,O=c1[nH]nc2c3c(cccc13)N=C1CNCCN12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(CN4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,6.77,1,0.0,6.77,6.77,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(CN4CCN(C(=O)c5cccc(Cc6n[nH]c(=O)c7ccccc67)c5)CC4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)C4CN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)C4)C3=CC12,6.55,1,0.0,6.55,6.55,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)C4CN(C(=O)c5cccc(Cc6n[nH]c(=O)c7ccccc67)c5)C4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CC4CCCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)C4)C3=CC12,7.19,1,0.0,7.19,7.19,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)CC4CCCN(C(=O)c5cccc(Cc6n[nH]c(=O)c7ccccc67)c5)C4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CC4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,7.16,1,0.0,7.16,7.16,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)CC4CCN(C(=O)c5cccc(Cc6n[nH]c(=O)c7ccccc67)c5)CC4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCC4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,7.1,1,0.0,7.1,7.1,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)CCC4CCN(C(=O)c5cccc(Cc6n[nH]c(=O)c7ccccc67)c5)CC4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCCC4CCN(C(=O)c5cc(Cc6n[nH]c(=O)c7ccccc67)ccc5F)CC4)C3=CC12,6.89,1,0.0,6.89,6.89,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)CCCC4CCN(C(=O)c5cccc(Cc6n[nH]c(=O)c7ccccc67)c5)CC4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCN(C)C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,8.66,1,0.0,8.66,8.66,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)CCNC(=O)c4cccc(Cc5n[nH]c(=O)c6ccccc56)c4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)CCNC(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,6.87,1,0.0,6.87,6.87,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)CCNC(=O)c4cccc(Cc5n[nH]c(=O)c6ccccc56)c4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)COCCOCCNC(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,7.41,1,0.0,7.41,7.41,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)COCCOCCNC(=O)c4cccc(Cc5n[nH]c(=O)c6ccccc56)c4)C3=CC12,0.0
C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,5.58,1,0.0,5.58,5.58,2022,2022,1,1,C=C1C(=O)OC2CC3CCC=C(COC(=O)c4cccc(Cc5n[nH]c(=O)c6ccccc56)c4)C3=CC12,0.0
