"task_key","pair_key","target","compound_id","method","source_seed","canonical_smiles","seed","returncode","best_affinity","status"
"pairA:EGFR:CLV_AS42_01","pairA","EGFR","CLV_AS42_01","CLOVER-Mol","42","Cc1ccsc1CCC(=O)Nc1cccc(NC(=O)Nc2ncco2)c1","202608300","0","-7.8","ok"
"pairA:VEGFR2:CLV_AS42_01","pairA","VEGFR2","CLV_AS42_01","CLOVER-Mol","42","Cc1ccsc1CCC(=O)Nc1cccc(NC(=O)Nc2ncco2)c1","202608301","0","-10.5","ok"
"pairA:EGFR:CLV_AS42_02","pairA","EGFR","CLV_AS42_02","CLOVER-Mol","42","Cc1ccsc1NC(=O)Nc1ccnc(OCc2ccco2)c1","202608302","0","-7.4","ok"
"pairA:VEGFR2:CLV_AS42_02","pairA","VEGFR2","CLV_AS42_02","CLOVER-Mol","42","Cc1ccsc1NC(=O)Nc1ccnc(OCc2ccco2)c1","202608303","0","-9","ok"
"pairA:EGFR:CLV_AS42_03","pairA","EGFR","CLV_AS42_03","CLOVER-Mol","42","Cc1ccsc1NC(=O)Nc1cc(NC(=O)c2ccco2)ccn1","202608304","0","-7.7","ok"
"pairA:VEGFR2:CLV_AS42_03","pairA","VEGFR2","CLV_AS42_03","CLOVER-Mol","42","Cc1ccsc1NC(=O)Nc1cc(NC(=O)c2ccco2)ccn1","202608305","0","-9.7","ok"
"pairA:EGFR:CLV_AS42_04","pairA","EGFR","CLV_AS42_04","CLOVER-Mol","42","Cc1ccsc1NC(=O)c1ccnc(NC(=O)Nc2ccco2)c1","202608306","0","-7.9","ok"
"pairA:VEGFR2:CLV_AS42_04","pairA","VEGFR2","CLV_AS42_04","CLOVER-Mol","42","Cc1ccsc1NC(=O)c1ccnc(NC(=O)Nc2ccco2)c1","202608307","0","-9.7","ok"
"pairA:EGFR:CLV_AS42_05","pairA","EGFR","CLV_AS42_05","CLOVER-Mol","42","Cc1ccsc1C(C)NC(=O)Nc1ccnc(NCc2ccco2)c1","202608308","0","-7.4","ok"
"pairA:VEGFR2:CLV_AS42_05","pairA","VEGFR2","CLV_AS42_05","CLOVER-Mol","42","Cc1ccsc1C(C)NC(=O)Nc1ccnc(NCc2ccco2)c1","202608309","0","-8.9","ok"
"pairA:EGFR:CLV_AS42_06","pairA","EGFR","CLV_AS42_06","CLOVER-Mol","42","O=C(NCc1ccco1)Nc1cc(Nc2nccs2)cnn1","202608310","0","-6.9","ok"
"pairA:VEGFR2:CLV_AS42_06","pairA","VEGFR2","CLV_AS42_06","CLOVER-Mol","42","O=C(NCc1ccco1)Nc1cc(Nc2nccs2)cnn1","202608311","0","-8.3","ok"
"pairA:EGFR:CLV_AS42_07","pairA","EGFR","CLV_AS42_07","CLOVER-Mol","42","Cc1ccsc1C(C)NC(=O)Nc1ccnc(S(C)(=O)=O)c1","202608312","0","-6.6","ok"
