"pair_key","target_pair","method","method_key","source_seed","within_seed_rank","compound_id","canonical_smiles","predicted_target_1","predicted_target_2","min_predicted_activity","mean_predicted_activity","qed","sa","logp","source_file","BRD4","EGFR","PARP1","VEGFR2","target_1_vina","target_2_vina","dual_worst_vina","dual_mean_vina","dual_pass","nearest_train_similarity","average_novelty_1_minus_tanimoto","exact_training_structure_novel"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","1","CLV_AS42_01","Cc1ccsc1CCC(=O)Nc1cccc(NC(=O)Nc2ncco2)c1","7.695891380310059","7.718175411224365","7.695891380310059","7.707033395767212","0.6039073046838308","2.4890571817713543","4.259820000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.8","","-10.5","-7.8","-10.5","-7.8","-9.15","True","0.4545454545454545","0.5454545454545455","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","2","CLV_AS42_02","Cc1ccsc1NC(=O)Nc1ccnc(OCc2ccco2)c1","7.67216682434082","7.745736122131348","7.67216682434082","7.708951473236084","0.7327684237522079","2.487586156441113","4.267520000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.4","","-9.0","-7.4","-9.0","-7.4","-8.2","True","0.4307692307692308","0.5692307692307692","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","3","CLV_AS42_03","Cc1ccsc1NC(=O)Nc1cc(NC(=O)c2ccco2)ccn1","7.641073703765869","7.673609733581543","7.641073703765869","7.657341718673706","0.6688665416420515","2.4010983558294843","3.940820000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.7","","-9.7","-7.7","-9.7","-7.7","-8.7","True","0.5333333333333333","0.4666666666666667","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","4","CLV_AS42_04","Cc1ccsc1NC(=O)c1ccnc(NC(=O)Nc2ccco2)c1","7.599571704864502","7.638731479644775","7.599571704864502","7.619151592254639","0.6688665416420515","2.5825351451271423","3.940820000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.9","","-9.7","-7.9","-9.7","-7.9","-8.8","True","0.46875","0.53125","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","5","CLV_AS42_05","Cc1ccsc1C(C)NC(=O)Nc1ccnc(NCc2ccco2)c1","7.729640960693359","7.4447550773620605","7.4447550773620605","7.58719801902771","0.6057309352278958","2.920736999403694","4.539320000000003","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.4","","-8.9","-7.4","-8.9","-7.4","-8.15","True","0.4626865671641791","0.5373134328358209","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","6","CLV_AS42_06","O=C(NCc1ccco1)Nc1cc(Nc2nccs2)cnn1","7.441394805908203","7.527501106262207","7.441394805908203","7.484447956085205","0.6679757475533912","2.649947499198591","2.5914","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.9","","-8.3","-6.9","-8.3","-6.9","-7.6000000000000005","False","0.5932203389830508","0.4067796610169492","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","7","CLV_AS42_07","Cc1ccsc1C(C)NC(=O)Nc1ccnc(S(C)(=O)=O)c1","7.8671183586120605","7.426963806152344","7.426963806152344","7.647041082382202","0.8962909712553959","2.9773895050291923","2.7377200000000004","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.6","","-8.3","-6.6","-8.3","-6.6","-7.45","False","0.4838709677419355","0.5161290322580645","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","8","CLV_AS42_08","Cc1ccsc1C(C)NC(=O)Nc1ccnc(NC(=O)N(C)C)c1","7.825150966644287","7.424498081207275","7.424498081207275","7.624824523925781","0.7918022628209395","2.95783307770658","3.4277200000000017","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.1","","-8.9","-7.1","-8.9","-7.1","-8.0","True","0.46774193548387094","0.532258064516129","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","9","CLV_AS42_09","CC(NC(=O)NCc1ccco1)c1cccc(Nc2ncco2)c1","7.413176536560059","7.407673358917236","7.407673358917236","7.410424947738647","0.6437871280478217","2.8943800507335524","3.571600000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.6","","-9.2","-7.6","-9.2","-7.6","-8.399999999999999","True","0.631578947368421","0.368421052631579","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","42","10","CLV_AS42_10","CS(=O)(=O)NCc1cc(Nc2nccs2)ccn1","7.404788494110107","7.448500633239746","7.404788494110107","7.426644563674927","0.8650784190431247","2.4957937065349007","1.3308999999999995","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed42/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.2","","-7.1","-6.2","-7.1","-6.2","-6.65","False","0.45098039215686275","0.5490196078431373","True"
