pair_key,target_pair,method,n,best,mean,median,variance,dual_pass_n,dual_pass_rate,qed,sa,logp,average_novelty,exact_structure_novelty_rate,seed_mean_score_sd,seed_mean_score_min,seed_mean_score_max,seed_pass_rate_sd,seeds_with_at_least_8_of_10_pass,seeds_with_10_of_10_pass
pairA,EGFR/VEGFR2,CLOVER-Mol,100,-9.2,-7.361000000000001,-7.4,0.2822010101010101,81,0.81,0.7494036309358408,2.6104602671179213,3.176230400000001,0.5019453425666225,1.0,0.16495453919186356,-7.640000000000001,-7.15,0.11972189997378652,7,1
pairA,EGFR/VEGFR2,POLYGON,100,-9.1,-7.523,-7.6,0.30744545454545447,84,0.84,0.7609374989772677,2.5895658110681072,3.010500000000001,0.4606732677410706,1.0,0.24170919166083304,-7.970000000000001,-7.15,0.1173787790777267,9,2
pairA,EGFR/VEGFR2,REINVENT4,100,-8.8,-6.992000000000001,-7.1,0.6423595959595952,57,0.57,0.8073669027735159,2.654099511805347,2.2867266000000006,0.4835797488811424,1.0,0.4125476403466095,-7.7299999999999995,-6.32,0.1946506842754191,3,0
pairA,EGFR/VEGFR2,DrugEx v2,100,-9.3,-7.392,-7.3,0.30498585858585886,78,0.78,0.8066334649363278,2.456912310016769,2.5189348000000007,0.3133118661473661,0.91,0.14405245958022056,-7.63,-7.2,0.12292725943057188,6,0
pairA,EGFR/VEGFR2,MO-LSO,100,-9.1,-7.685,-7.75,0.43199494949494954,87,0.87,0.7401388655594943,2.968576391385712,3.3009334000000017,0.5732634277587569,1.0,0.26077874828205505,-7.959999999999999,-7.05,0.13374935098492585,8,3
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,100,-9.1,-7.621,-7.6,0.3194535353535354,87,0.87,0.7552041731839723,3.1374722672437776,3.4738092000000016,0.549135962902401,1.0,0.416024839002032,-8.440000000000001,-7.0200000000000005,0.18287822299126935,8,5
pairB,PARP1/BRD4,CLOVER-Mol,100,-9.2,-8.002,-8.0,0.29070303030303013,97,0.97,0.7199891997023689,2.550068778994439,2.4519150000000005,0.4497887189558227,1.0,0.15353609781850477,-8.290000000000001,-7.81,0.04830458915396477,10,7
pairB,PARP1/BRD4,POLYGON,100,-9.0,-7.72,-7.75,0.4169696969696968,86,0.86,0.7376770381636508,2.735924022908778,1.8960574000000003,0.47121675143327046,1.0,0.2658738213681236,-8.15,-7.33,0.107496769977314,8,2
pairB,PARP1/BRD4,REINVENT4,100,-8.9,-7.401,-7.5,0.4811101010101011,74,0.74,0.7616983328989795,2.761468900946823,2.0358868000000006,0.5017667535249045,1.0,0.3339477670401629,-8.02,-7.040000000000001,0.18378731669453627,5,1
pairB,PARP1/BRD4,DrugEx v2,100,-9.0,-7.547000000000001,-7.6,0.3994858585858584,79,0.79,0.7838170607324751,2.5087138160210256,2.0749566000000006,0.31214889468375384,0.9,0.2728471285455568,-7.959999999999999,-7.209999999999999,0.15951314818673865,6,1
pairB,PARP1/BRD4,MO-LSO,100,-8.8,-7.596,-7.7,0.4941252525252523,80,0.8,0.7632241391922893,2.8677325367505864,2.0712416000000005,0.49736930886057784,1.0,0.284104831982062,-8.01,-7.209999999999999,0.15634719199411434,6,2
pairB,PARP1/BRD4,GraphPareto-NSGA-II,100,-9.8,-7.934,-7.95,0.5275191919191915,89,0.89,0.7197551624081997,3.255671425492996,3.2247982000000017,0.5597534214597988,1.0,0.36585364408310755,-8.41,-7.279999999999999,0.1286683937707919,8,5
