method,metric,mean,sd,n,target_pair
CLOVER-Mol,validity,0.894423828125,0.0285664312215722,10,EGFR_VEGFR2
CLOVER-Mol,uniqueness,0.9971121637453818,0.0015736054866503,10,EGFR_VEGFR2
CLOVER-Mol,novelty,0.9806033112834032,0.0025210821271534,10,EGFR_VEGFR2
CLOVER-Mol,diversity,0.8522461296176894,0.0034937097261489,10,EGFR_VEGFR2
CLOVER-Mol,hypervolume,0.5179989449543038,0.0195559202328458,10,EGFR_VEGFR2
CLOVER-Mol,igd_plus,0.1027244422208835,0.01600039794779,10,EGFR_VEGFR2
CLOVER-Mol,pareto_size,11.8,2.936362072739365,10,EGFR_VEGFR2
CLOVER-Mol,dual_at_6,0.7729631599326301,0.0160345079308897,10,EGFR_VEGFR2
CLOVER-Mol,dual_at_6_5,0.2889176029040001,0.0187228691225568,10,EGFR_VEGFR2
CLOVER-Mol,quality_pass,0.7619702672319869,0.0200593272518598,10,EGFR_VEGFR2
CLOVER-Mol,alert_free,0.8676745749649986,0.0075636812961636,10,EGFR_VEGFR2
CLOVER-Mol,scaffold_diversity,0.8786119363609721,0.0237657253242598,10,EGFR_VEGFR2
CLOVER-Mol,qc_hypervolume,0.5112104242004942,0.0187689739114084,10,EGFR_VEGFR2
CLOVER-Mol,qc_dual_at_6,0.7721783144695268,0.0154130155799355,10,EGFR_VEGFR2
CLOVER-Mol,qc_dual_at_6_5,0.2782322672762282,0.0160654782729732,10,EGFR_VEGFR2
CLOVER-Mol,qc_dual_at_7,0.014751844691145,0.0028923346278585,10,EGFR_VEGFR2
CLOVER-Mol,qc_best_min,7.633347034454346,0.0960517045907322,10,EGFR_VEGFR2
POLYGON,validity,0.881337890625,0.0103768618137477,10,EGFR_VEGFR2
POLYGON,uniqueness,0.9984414523980314,0.0008310869897392,10,EGFR_VEGFR2
POLYGON,novelty,0.9739448631262068,0.0022046713106428,10,EGFR_VEGFR2
POLYGON,diversity,0.8565890549936708,0.0016888903083657,10,EGFR_VEGFR2
POLYGON,hypervolume,0.4908915687993562,0.0129865618287007,10,EGFR_VEGFR2
POLYGON,igd_plus,0.1255303441627063,0.0217519673410454,10,EGFR_VEGFR2
POLYGON,pareto_size,7.7,3.683295625749672,10,EGFR_VEGFR2
POLYGON,dual_at_6,0.7873586487201758,0.0077520695337385,10,EGFR_VEGFR2
POLYGON,dual_at_6_5,0.2379806756180264,0.0112959883476242,10,EGFR_VEGFR2
POLYGON,quality_pass,0.8078416773175219,0.0167009788847974,10,EGFR_VEGFR2
POLYGON,alert_free,0.8748269645307314,0.0092303069898804,10,EGFR_VEGFR2
POLYGON,scaffold_diversity,0.9001249957294066,0.0103559189391623,10,EGFR_VEGFR2
POLYGON,qc_hypervolume,0.4846850215957933,0.0119525196203678,10,EGFR_VEGFR2
POLYGON,qc_dual_at_6,0.7877918013540963,0.0071786886720887,10,EGFR_VEGFR2
POLYGON,qc_dual_at_6_5,0.2376360324393315,0.00891771004305,10,EGFR_VEGFR2
POLYGON,qc_dual_at_7,0.003593825671937,0.0012437875388564,10,EGFR_VEGFR2
POLYGON,qc_best_min,7.394183081214052,0.1937923332217644,10,EGFR_VEGFR2
REINVENT4,validity,0.947822265625,0.0094660036687657,10,EGFR_VEGFR2
REINVENT4,uniqueness,0.903842724948734,0.1148765952814292,10,EGFR_VEGFR2
REINVENT4,novelty,0.9885181032347128,0.0053311244991746,10,EGFR_VEGFR2
REINVENT4,diversity,0.8551661282863006,0.0123591356293436,10,EGFR_VEGFR2
REINVENT4,hypervolume,0.4281933448873355,0.0137414277374756,10,EGFR_VEGFR2
REINVENT4,igd_plus,0.1933358149248497,0.0174408509350048,10,EGFR_VEGFR2
REINVENT4,pareto_size,9.1,3.478505426185217,10,EGFR_VEGFR2
REINVENT4,dual_at_6,0.6164365659387168,0.0509164385679953,10,EGFR_VEGFR2
REINVENT4,dual_at_6_5,0.0579199350404879,0.0173409342084515,10,EGFR_VEGFR2
REINVENT4,quality_pass,0.5173584832027716,0.0932951856172338,10,EGFR_VEGFR2
REINVENT4,alert_free,0.5661091895273576,0.1141883442415144,10,EGFR_VEGFR2
REINVENT4,scaffold_diversity,0.5695722952165008,0.172650606243583,10,EGFR_VEGFR2
REINVENT4,qc_hypervolume,0.4227303397207755,0.0164092464739324,10,EGFR_VEGFR2
REINVENT4,qc_dual_at_6,0.5936403898467941,0.0691203321957365,10,EGFR_VEGFR2
REINVENT4,qc_dual_at_6_5,0.0511984635726617,0.0121938154307072,10,EGFR_VEGFR2
REINVENT4,qc_dual_at_7,8.466256979951608e-05,0.0001669226538881,10,EGFR_VEGFR2
REINVENT4,qc_best_min,6.982708449532616,0.1140202449496439,10,EGFR_VEGFR2
DrugEx v2,validity,0.966767578125,0.0014572648266567,10,EGFR_VEGFR2
DrugEx v2,uniqueness,0.99801998527353,0.0004053701467986,10,EGFR_VEGFR2
DrugEx v2,novelty,0.8343011108858649,0.0033564395607427,10,EGFR_VEGFR2
DrugEx v2,diversity,0.8623042112731178,0.0006616959838863,10,EGFR_VEGFR2
DrugEx v2,hypervolume,0.4634789583245208,0.020693510472769,10,EGFR_VEGFR2
DrugEx v2,igd_plus,0.1654861873422957,0.0129308441905108,10,EGFR_VEGFR2
DrugEx v2,pareto_size,8.3,2.213594362117865,10,EGFR_VEGFR2
DrugEx v2,dual_at_6,0.5883059701426797,0.0083833581192331,10,EGFR_VEGFR2
DrugEx v2,dual_at_6_5,0.0766789934399409,0.0037707175460721,10,EGFR_VEGFR2
DrugEx v2,quality_pass,0.8252447178143554,0.0057635750715247,10,EGFR_VEGFR2
DrugEx v2,alert_free,0.8550520911512084,0.0039066463931716,10,EGFR_VEGFR2
DrugEx v2,scaffold_diversity,0.7200087863753085,0.005288017235808,10,EGFR_VEGFR2
DrugEx v2,qc_hypervolume,0.4625383085633645,0.020081026017162,10,EGFR_VEGFR2
DrugEx v2,qc_dual_at_6,0.5921492778441304,0.0074518498550948,10,EGFR_VEGFR2
DrugEx v2,qc_dual_at_6_5,0.07781119722883,0.0042825004927794,10,EGFR_VEGFR2
DrugEx v2,qc_dual_at_7,0.0003684117677646,0.0002523334777948,10,EGFR_VEGFR2
DrugEx v2,qc_best_min,7.148371257803094,0.1406355185200966,10,EGFR_VEGFR2
MO-LSO,validity,0.997919921875,0.0007176977739078,10,EGFR_VEGFR2
MO-LSO,uniqueness,0.5532004500218279,0.0481393973266177,10,EGFR_VEGFR2
MO-LSO,novelty,0.9976499826948596,0.0008356902072323,10,EGFR_VEGFR2
MO-LSO,diversity,0.8820487395315009,0.0027765224734534,10,EGFR_VEGFR2
MO-LSO,hypervolume,0.49953269605538,0.0202852135683735,10,EGFR_VEGFR2
MO-LSO,igd_plus,0.1296674527715773,0.024356944198283,10,EGFR_VEGFR2
MO-LSO,pareto_size,8.7,3.772709017845576,10,EGFR_VEGFR2
MO-LSO,dual_at_6,0.7281377098715345,0.0301238391429591,10,EGFR_VEGFR2
MO-LSO,dual_at_6_5,0.2492425312291299,0.0497548738473247,10,EGFR_VEGFR2
MO-LSO,quality_pass,0.3827191515330522,0.0454997903619504,10,EGFR_VEGFR2
MO-LSO,alert_free,0.591235547625037,0.0450878157639696,10,EGFR_VEGFR2
MO-LSO,scaffold_diversity,0.8369174987248158,0.0231319529227573,10,EGFR_VEGFR2
MO-LSO,qc_hypervolume,0.4498932559515459,0.0271699125388958,10,EGFR_VEGFR2
MO-LSO,qc_dual_at_6,0.6832473054958882,0.0149450454167242,10,EGFR_VEGFR2
MO-LSO,qc_dual_at_6_5,0.1462060168193433,0.0083197553185835,10,EGFR_VEGFR2
MO-LSO,qc_dual_at_7,0.0013956567394392,0.0008640468963454,10,EGFR_VEGFR2
MO-LSO,qc_best_min,7.086731677041675,0.0645168383780941,10,EGFR_VEGFR2
GraphPareto-NSGA-II,validity,1.0,0.0,10,EGFR_VEGFR2
GraphPareto-NSGA-II,uniqueness,0.63509765625,0.0198856304963839,10,EGFR_VEGFR2
GraphPareto-NSGA-II,novelty,0.9825991196477014,0.0005755129491794,10,EGFR_VEGFR2
GraphPareto-NSGA-II,diversity,0.8179278443094304,0.0175856859623515,10,EGFR_VEGFR2
GraphPareto-NSGA-II,hypervolume,0.5788312408543129,0.0391602376622823,10,EGFR_VEGFR2
GraphPareto-NSGA-II,igd_plus,0.0486660560153478,0.0292719495183907,10,EGFR_VEGFR2
GraphPareto-NSGA-II,pareto_size,10.8,4.779586221049312,10,EGFR_VEGFR2
GraphPareto-NSGA-II,dual_at_6,0.8705586204069069,0.032671609133601,10,EGFR_VEGFR2
GraphPareto-NSGA-II,dual_at_6_5,0.6219804997784275,0.0618715165022552,10,EGFR_VEGFR2
GraphPareto-NSGA-II,quality_pass,0.1527952067370682,0.0393477023001208,10,EGFR_VEGFR2
GraphPareto-NSGA-II,alert_free,0.3313198912166699,0.1145301090822185,10,EGFR_VEGFR2
GraphPareto-NSGA-II,scaffold_diversity,0.5163741703064206,0.0554987466699796,10,EGFR_VEGFR2
GraphPareto-NSGA-II,qc_hypervolume,0.4904276038639646,0.0303111272599276,10,EGFR_VEGFR2
GraphPareto-NSGA-II,qc_dual_at_6,0.7402099870680663,0.0549852369159475,10,EGFR_VEGFR2
GraphPareto-NSGA-II,qc_dual_at_6_5,0.3100181321921958,0.0803062496168696,10,EGFR_VEGFR2
GraphPareto-NSGA-II,qc_dual_at_7,0.0469147132956101,0.0227935460432539,10,EGFR_VEGFR2
GraphPareto-NSGA-II,qc_best_min,7.414974344253336,0.1243817601427072,10,EGFR_VEGFR2
