method,metric,mean,sd,n,target_pair
CLOVER-Mol,validity,0.904033203125,0.0067090546593338,10,PARP1_BRD4
CLOVER-Mol,uniqueness,0.9976395490157076,0.0008241462976049,10,PARP1_BRD4
CLOVER-Mol,novelty,0.9740790737196856,0.0032702923540793,10,PARP1_BRD4
CLOVER-Mol,diversity,0.8626883748370178,0.0015503722629763,10,PARP1_BRD4
CLOVER-Mol,hypervolume,0.5042182117843043,0.0054108218931101,10,PARP1_BRD4
CLOVER-Mol,igd_plus,0.0557214463228746,0.0050715060780447,10,PARP1_BRD4
CLOVER-Mol,pareto_size,10.6,2.988868236194653,10,PARP1_BRD4
CLOVER-Mol,dual_at_6,0.4834150692316578,0.0174524464894795,10,PARP1_BRD4
CLOVER-Mol,dual_at_6_5,0.3537664829327769,0.019596566248789,10,PARP1_BRD4
CLOVER-Mol,quality_pass,0.7605603425586823,0.0250742006910602,10,PARP1_BRD4
CLOVER-Mol,alert_free,0.8718420514724737,0.0088004278017097,10,PARP1_BRD4
CLOVER-Mol,scaffold_diversity,0.8846265001896997,0.0195043713876523,10,PARP1_BRD4
CLOVER-Mol,qc_hypervolume,0.5002817959312751,0.0067218670222938,10,PARP1_BRD4
CLOVER-Mol,qc_dual_at_6,0.4608035008726973,0.015866838261815,10,PARP1_BRD4
CLOVER-Mol,qc_dual_at_6_5,0.3322724723087465,0.014633974770939,10,PARP1_BRD4
CLOVER-Mol,qc_dual_at_7,0.0176863675408966,0.0070753172017371,10,PARP1_BRD4
CLOVER-Mol,qc_best_min,7.656037282943726,0.0418653053736347,10,PARP1_BRD4
POLYGON,validity,0.8721972656249999,0.0072539379781324,10,PARP1_BRD4
POLYGON,uniqueness,0.9972145203642502,0.0019406996038518,10,PARP1_BRD4
POLYGON,novelty,0.9692729460310068,0.0022123697325115,10,PARP1_BRD4
POLYGON,diversity,0.8656151249902132,0.0015193224221661,10,PARP1_BRD4
POLYGON,hypervolume,0.4985816332220988,0.0145230996784709,10,PARP1_BRD4
POLYGON,igd_plus,0.0698076616111832,0.00863979580819,10,PARP1_BRD4
POLYGON,pareto_size,10.8,1.9888578520235063,10,PARP1_BRD4
POLYGON,dual_at_6,0.5017414261712315,0.0131938027755697,10,PARP1_BRD4
POLYGON,dual_at_6_5,0.3540987958746724,0.0162836414469382,10,PARP1_BRD4
POLYGON,quality_pass,0.7817379697551472,0.0146241924887616,10,PARP1_BRD4
POLYGON,alert_free,0.8917005545503258,0.0114714698118742,10,PARP1_BRD4
POLYGON,scaffold_diversity,0.9196787614863504,0.0085637445394014,10,PARP1_BRD4
POLYGON,qc_hypervolume,0.4943567514503376,0.0162123862873876,10,PARP1_BRD4
POLYGON,qc_dual_at_6,0.4818959118653784,0.0105559792081474,10,PARP1_BRD4
POLYGON,qc_dual_at_6_5,0.3398801703529173,0.012529878708873,10,PARP1_BRD4
POLYGON,qc_dual_at_7,0.0102324215959709,0.0020569260009108,10,PARP1_BRD4
POLYGON,qc_best_min,7.547346666666693,0.0862978051521327,10,PARP1_BRD4
REINVENT4,validity,0.9335937499999998,0.0074924968345798,10,PARP1_BRD4
REINVENT4,uniqueness,0.9404151406670934,0.0573668858696315,10,PARP1_BRD4
REINVENT4,novelty,0.9876208607401172,0.0051655476349721,10,PARP1_BRD4
REINVENT4,diversity,0.868087947920516,0.0085022096894235,10,PARP1_BRD4
REINVENT4,hypervolume,0.4820393541361762,0.0135997932523422,10,PARP1_BRD4
REINVENT4,igd_plus,0.0888278635915142,0.0187793430259744,10,PARP1_BRD4
REINVENT4,pareto_size,9.6,3.238655413730965,10,PARP1_BRD4
REINVENT4,dual_at_6,0.2794360167375797,0.1634025743359612,10,PARP1_BRD4
REINVENT4,dual_at_6_5,0.2025766705795753,0.1396833643167151,10,PARP1_BRD4
REINVENT4,quality_pass,0.7145634515988092,0.0773878162092782,10,PARP1_BRD4
REINVENT4,alert_free,0.7811725123477582,0.0871583447506212,10,PARP1_BRD4
REINVENT4,scaffold_diversity,0.653360592647857,0.0745469137956916,10,PARP1_BRD4
REINVENT4,qc_hypervolume,0.4795946280908095,0.0119571573955579,10,PARP1_BRD4
REINVENT4,qc_dual_at_6,0.2845211679936971,0.1645723974313695,10,PARP1_BRD4
REINVENT4,qc_dual_at_6_5,0.2082613599147473,0.141690227931371,10,PARP1_BRD4
REINVENT4,qc_dual_at_7,0.0030041887632342,0.0033829104741081,10,PARP1_BRD4
REINVENT4,qc_best_min,7.38101450000002,0.1958285347844724,10,PARP1_BRD4
DrugEx v2,validity,0.962314453125,0.0011531434813192,10,PARP1_BRD4
DrugEx v2,uniqueness,0.9979701239237924,0.0005071966599287,10,PARP1_BRD4
DrugEx v2,novelty,0.8370275032860903,0.0037158292971276,10,PARP1_BRD4
DrugEx v2,diversity,0.8661040041157879,0.0010334291940876,10,PARP1_BRD4
DrugEx v2,hypervolume,0.4867431826185995,0.0074482562940024,10,PARP1_BRD4
DrugEx v2,igd_plus,0.085971840782378,0.0093569128655149,10,PARP1_BRD4
DrugEx v2,pareto_size,10.9,2.960855732160327,10,PARP1_BRD4
DrugEx v2,dual_at_6,0.1965042467692261,0.0106040177684345,10,PARP1_BRD4
DrugEx v2,dual_at_6_5,0.098344243009728,0.0086033141807437,10,PARP1_BRD4
DrugEx v2,quality_pass,0.824537267793985,0.0084060369892469,10,PARP1_BRD4
DrugEx v2,alert_free,0.8602078664539473,0.0093892677372646,10,PARP1_BRD4
DrugEx v2,scaffold_diversity,0.7428589867274357,0.0061373844552641,10,PARP1_BRD4
DrugEx v2,qc_hypervolume,0.4827734453075777,0.0064545176095053,10,PARP1_BRD4
DrugEx v2,qc_dual_at_6,0.1917536722075455,0.0113419677467897,10,PARP1_BRD4
DrugEx v2,qc_dual_at_6_5,0.0962241582236147,0.008476996627182,10,PARP1_BRD4
DrugEx v2,qc_dual_at_7,0.0025774122356789,0.0007774908865681,10,PARP1_BRD4
DrugEx v2,qc_best_min,7.383919566666688,0.1270378260001474,10,PARP1_BRD4
MO-LSO,validity,0.990947265625,0.0042517681557627,10,PARP1_BRD4
MO-LSO,uniqueness,0.4588959228361203,0.0326408537515757,10,PARP1_BRD4
MO-LSO,novelty,0.9974232345406404,0.0005301500348448,10,PARP1_BRD4
MO-LSO,diversity,0.8904345586505702,0.0027748075005902,10,PARP1_BRD4
MO-LSO,hypervolume,0.492813524719952,0.010789462870781,10,PARP1_BRD4
MO-LSO,igd_plus,0.0784143091809019,0.0094655909826994,10,PARP1_BRD4
MO-LSO,pareto_size,9.6,2.2705848487901865,10,PARP1_BRD4
MO-LSO,dual_at_6,0.2894158717446032,0.0270076640155688,10,PARP1_BRD4
MO-LSO,dual_at_6_5,0.1683433920047053,0.0322639835925348,10,PARP1_BRD4
