method,seed,generated_rows,valid_rows,unique_valid,diversity_sample_n,validity,uniqueness,novelty,diversity,hypervolume,igd_plus,pareto_size,dual_at_6,dual_at_6_5,quality_pass,alert_free,scaffold_diversity,qc_hypervolume,qc_dual_at_6,qc_dual_at_6_5,qc_dual_at_7,qc_best_min,target_pair
CLOVER-Mol,42,10240,9221,9189,2000,0.90048828125,0.9965296605574232,0.981064316030036,0.8541492199200845,0.5262213303631791,0.0985727023484348,14,0.7629774730656219,0.2806616606812493,0.7540537599303515,0.8711502883882903,0.8609206660137121,0.5261610688770241,0.7628806465579449,0.2708904603838938,0.0154423437725501,7.695891380310059,EGFR_VEGFR2
CLOVER-Mol,43,10240,9402,9368,2000,0.9181640625,0.996383748138694,0.979931682322801,0.8508358543810804,0.5192666465570989,0.1034868124302918,13,0.7708155422715628,0.2998505550811272,0.767933390264731,0.8526900085397097,0.8752134927412468,0.5184532642330657,0.7664720600500416,0.2831526271893244,0.0119544064498192,7.520555019378662,EGFR_VEGFR2
CLOVER-Mol,44,10240,9368,9313,2000,0.91484375,0.9941289496157132,0.9811016858155268,0.8445146631098426,0.5499615415851483,0.0812184889678311,10,0.7985611510791367,0.3177279072264576,0.7657038548265865,0.8663159025018791,0.8343176205304413,0.5314799699965673,0.8014303744215397,0.3104753891459823,0.0208946851773944,7.711636066436768,EGFR_VEGFR2
CLOVER-Mol,45,10240,9126,9098,2000,0.8912109375,0.9969318430856892,0.986370630907892,0.8511712425237739,0.5266841329643313,0.1093399967148525,13,0.7817102659925258,0.3174324027258738,0.745878214992306,0.871510222026819,0.8998681028797538,0.4926004913690195,0.7749778956675508,0.2985558502799882,0.012673150604185,7.639442443847656,EGFR_VEGFR2
CLOVER-Mol,46,10240,9157,9149,2000,0.89423828125,0.9991263514251392,0.983167559296098,0.8552385615029322,0.4989199372751787,0.1095470711198847,13,0.7838015083615696,0.2906328560498415,0.7398622800306044,0.8559405399497213,0.9063285604984151,0.4971307993470585,0.7789924656522381,0.2789185994977101,0.0137391047422071,7.654451847076416,EGFR_VEGFR2
CLOVER-Mol,47,10240,9337,9323,2000,0.91181640625,0.9985005890543,0.9787622010082592,0.8502181635671323,0.5246328406677706,0.0991650642080951,12,0.7387107154349458,0.2608602381207766,0.7801136973077336,0.8708570202724445,0.85916550466588,0.5242656124934112,0.7427471469819882,0.2568403684861817,0.0147119483019386,7.653639316558838,EGFR_VEGFR2
CLOVER-Mol,48,10240,9260,9216,2000,0.904296875,0.9952483801295896,0.9797092013888888,0.8508951095467521,0.5373803122470607,0.0811187054055371,8,0.7643229166666666,0.2783203125,0.7739800347222222,0.8743489583333334,0.8897569444444444,0.5357854675358349,0.7682601990747231,0.274919388756484,0.0175241833730548,7.694037914276123,EGFR_VEGFR2
CLOVER-Mol,49,10240,9193,9178,2000,0.89775390625,0.9983683237245732,0.9779908476792328,0.8546474410792908,0.5083148012110487,0.0974891837017612,7,0.7697755502288081,0.2745696230115493,0.7519067334931357,0.8669644802789279,0.883089997820876,0.5067562686902336,0.7698884219678307,0.2617012027242428,0.0120272424286335,7.693033695220947,EGFR_VEGFR2
CLOVER-Mol,50,10240,8372,8356,2000,0.817578125,0.998088867654085,0.97917663954045,0.8565821780647289,0.4825713282685284,0.1368926462960716,11,0.7824317855433222,0.2751316419339397,0.8021780756342748,0.8726663475347056,0.8681187170895165,0.4791874998980682,0.7868118752797255,0.2748023273161271,0.0122333283604356,7.40705680847168,EGFR_VEGFR2
CLOVER-Mol,51,10240,9153,9133,2000,0.89384765625,0.9978149240686114,0.9787583488448484,0.8542088624812769,0.5060365784036929,0.1104137510160749,17,0.7765246906821417,0.2939888317091865,0.738092631117924,0.8743019818241542,0.9093397569254352,0.5002837995646597,0.7693220590416852,0.2720664589823468,0.0163180537012312,7.663725852966309,EGFR_VEGFR2
POLYGON,42,10240,8769,8758,2000,0.85634765625,0.998745581024062,0.976592829413108,0.8572897799091216,0.5076727757540321,0.0853416600100343,2,0.7931034482758621,0.2483443708609271,0.7776889700844942,0.8661794930349395,0.9059145923726878,0.4859122589107843,0.7874027308765232,0.2362355013948025,0.0048451035090295,7.333705017333329,EGFR_VEGFR2
POLYGON,43,10240,8959,8955,2000,0.87490234375,0.9995535215983928,0.9720826353992184,0.8552274570768444,0.4813059670761597,0.1443284485327184,10,0.7819095477386935,0.237967615857063,0.8073701842546064,0.8768285873813512,0.8912339475153546,0.4803582882347552,0.7850622406639004,0.2414937759336099,0.0020746887966804,7.18872066383334,EGFR_VEGFR2
POLYGON,44,10240,9089,9081,2000,0.88759765625,0.999119815161184,0.9708181918290936,0.8541690054174558,0.473909560906204,0.1570403098067204,14,0.7892302609844731,0.245898028851448,0.7949565025878207,0.8690672833388393,0.9089307345006056,0.4728761158288615,0.7866740545781964,0.2418617537054993,0.0040171768943066,7.182314270933328,EGFR_VEGFR2
POLYGON,45,10240,9019,9004,2000,0.88076171875,0.9983368444395164,0.9749000444247,0.8553254464963163,0.5027117559388744,0.1052745096525403,4,0.7862061306086184,0.2476677032430031,0.8322967569968903,0.8923811639271435,0.9170368725011108,0.486546154814111,0.7884974646383773,0.2483319989324793,0.0045369629036562,7.740685701600012,EGFR_VEGFR2
POLYGON,46,10240,9054,9031,2000,0.8841796875,0.9974596863264856,0.973535599601373,0.858036565205787,0.4892533111942418,0.1068388777562333,5,0.7929354445797807,0.2224559849407596,0.8162994131325435,0.8718857269405381,0.8973535599601373,0.4805542307476665,0.7943570265870863,0.226939772110689,0.0028486163863266,7.421781719273815,EGFR_VEGFR2
POLYGON,47,10240,9079,9071,2000,0.88662109375,0.999118845687851,0.9755264028221806,0.8589597593340754,0.4680505886612829,0.1349130824734593,5,0.7972660125675228,0.235806416051152,0.7932973211332819,0.8647337669496197,0.9087200970124572,0.4602433666269804,0.7951639799888827,0.2366592551417454,0.0025013896609227,7.452304229166663,EGFR_VEGFR2
POLYGON,48,10240,9017,9005,2000,0.88056640625,0.9986691804369524,0.9711271515824542,0.8575641021782048,0.5034782542636284,0.1213077027210095,8,0.7789006107717934,0.2276513048306496,0.8145474736257635,0.8659633536923931,0.9011660188784008,0.5022471303251054,0.783503749147921,0.2289025221540559,0.0047716428084526,7.571242278000004,EGFR_VEGFR2
